value
#YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,deg,hPa,degC,degC,degC,nmi,ft
2008,06,26,01,00,999,99.0,99.0,99.00,99.00,99.00,999,1017.5,999.0,26.9,999.0,99.0,99.00
2008,06,26,01,06,999,99.0,99.0,99.00,99.00,99.00,999,1017.5,999.0,26.9,999.0,99.0,99.00
2008,06,26,01,12,999,99.0,99.0,99.00,99.00,99.00,999,1017.5,999.0,26.9,999.0,99.0,99.00
2008,06,26,01,18,999,99.0,99.0,99.00,99.00,99.00,999,1017.5,999.0,26.9,999.0,99.0,99.00
2008,06,26,01,24,999,99.0,99.0,99.00,99.00,99.00,999,1017.5,999.0,27.0,999.0,99.0,99.00
2008,06,26,01,30,60,6.0,7.2,99.00,99.00,99.00,999,1017.5,26.3,27.0,999.0,99.0,99.00
2008,06,26,01,36,66,6.9,8.8,99.00,99.00,99.00,999,1017.5,26.0,27.0,999.0,99.0,99.00
2008,06,26,01,42,999,99.0,99.0,99.00,99.00,99.00,999,1017.5,999.0,27.0,999.0,99.0,99.00
2008,06,26,01,48,999,99.0,99.0,99.00,99.00,99.00,999,1017.5,999.0,27.0,999.0,99.0,99.00
2008,06,26,01,54,999,99.0,99.0,99.00,99.00,99.00,999,1017.4,999.0,27.0,999.0,99.0,99.00
2008,06,26,02,00,999,99.0,99.0,99.00,99.00,99.00,999,1017.4,999.0,27.0,999.0,99.0,99.00
2008,06,26,02,06,999,99.0,99.0,99.00,99.00,99.00,999,1017.4,999.0,27.0,999.0,99.0,99.00
2008,06,26,02,12,999,99.0,99.0,99.00,99.00,99.00,999,1017.4,999.0,27.0,999.0,99.0,99.00
2008,06,26,02,18,999,99.0,99.0,99.00,99.00,99.00,999,1017.4,999.0,27.0,999.0,99.0,99.00
2008,06,26,02,24,999,99.0,99.0,99.00,99.00,99.00,999,1017.3,999.0,27.0,999.0,99.0,99.00
2008,06,26,02,30,999,99.0,99.0,99.00,99.00,99.00,999,1017.3,999.0,27.0,999.0,99.0,99.00
2008,06,26,02,36,68,5.5,7.2,99.00,99.00,99.00,999,1017.3,26.1,27.0,999.0,99.0,99.00
2008,06,26,02,42,999,99.0,99.0,99.00,99.00,99.00,999,1017.2,999.0,27.0,999.0,99.0,99.00
2008,06,26,02,48,999,99.0,99.0,99.00,99.00,99.00,999,1017.3,999.0,27.1,999.0,99.0,99.00
2008,06,26,02,54,999,99.0,99.0,99.00,99.00,99.00,999,1017.3,999.0,27.1,999.0,99.0,99.00
2008,06,26,03,00,999,99.0,99.0,99.00,99.00,99.00,999,1017.3,999.0,27.1,999.0,99.0,99.00
2008,06,26,03,06,999,99.0,99.0,99.00,99.00,99.00,999,1017.3,999.0,27.1,999.0,99.0,99.00
2008,06,26,03,12,999,99.0,99.0,99.00,99.00,99.00,999,1017.3,999.0,27.1,999.0,99.0,99.00
2008,06,26,03,18,999,99.0,99.0,99.00,99.00,99.00,999,1017.3,999.0,27.1,999.0,99.0,99.00
2008,06,26,03,24,999,99.0,99.0,99.00,99.00,99.00,999,1017.4,999.0,27.1,999.0,99.0,99.00
2008,06,26,03,30,999,99.0,99.0,99.00,99.00,99.00,999,1017.4,999.0,27.1,999.0,99.0,99.00
2008,06,26,03,36,71,5.7,7.6,99.00,99.00,99.00,999,1017.4,25.9,27.1,999.0,99.0,99.00
2008,06,26,03,42,999,99.0,99.0,99.00,99.00,99.00,999,1017.4,999.0,27.1,999.0,99.0,99.00
2008,06,26,03,48,999,99.0,99.0,99.00,99.00,99.00,999,1017.5,999.0,27.1,999.0,99.0,99.00
