Time,Wed.03.07,Thu.03.08,Fri.03.09,Sat.03.10
9:00 - 9:30,Welcome and Goals of the workshop (CRESCYNT),[Introduction to metadata - JC (NCEAS)](https://github.com/NCEAS/crescynt-training/blob/master/workshop_data_rescue/intro-to-metadata/Intro_to_metadata.pdf),Projects,Projects
9:30 - 10:00,[Introduction to data respotitories - JC (NCEAS)](https://github.com/NCEAS/crescynt-training/blob/master/workshop_data_rescue/data-repos-intro/data_repos.md),[Introduction to metadata - JC (NCEAS)](https://github.com/NCEAS/crescynt-training/blob/master/workshop_data_rescue/intro-to-metadata/Intro_to_metadata.pdf),Break: Image Discussion,Projects
10:00 - 10:30,Discussion: Data repositrory used within the Coral Reef community (CRESCYNT),[Example: Metadata for transect photos](https://dev.nceas.ucsb.edu/#view/urn:uuid:bff7deff-804d-4a53-aed6-e22ccc3de290) -  JB (NCEAS),Projects,Projects
10:30 - 11:00,Break,Break,Projects,Break
11:00 - 12:00,[Data management and tidy data](https://nceas.github.io/crescynt-training/workshop_data_rescue/data-mgt-modeling/data-modeling.html) - JB (NCEAS),[Exercise: Writing your own metadata - JC](https://github.com/NCEAS/crescynt-training/blob/master/workshop_data_rescue/data-submission-exercise/data_submission.Rmd),Break: Paper Discussion,Projects
12:00 - 01:00,Lunch,Lunch,Lunch,Lunch
1:00 - 2:30,Hands on data modeling and tidy data - JB;  [Naming files](http://www2.stat.duke.edu/~rcs46/lectures_2015/01-markdown-git/slides/naming-slides/naming-slides.pdf) - JL (NCEAS),Other data submission workflows (NOAA),Projects,Projects
2:30 - 3:00,Break,Break,Break: [Open Sci Presentation](https://nceas.github.io/crescynt-training/workshop_data_rescue/open-science/crescynt-nceas-data-rescue--open-science.pdf) - JB (NCEAS),Break
3:00 - 4:30,Data Discovery - JL (NCEAS),Open Discussion (NCEAS),Projects,Final discussion and next steps
